Skill Name,Invocation Name,Category,baseline_risk_score,baseline_population_tier,llm_genericity_risk,llm_ambiguity_risk,llm_semantic_confusion_risk,llm_squatting_risk,llm_overall_risk,llm_reasoning
CryptoPrice,crypto price,Business & Finance,0.6281464450488385,Q4 high,3,1,2,2,2,"The invocation name 'crypto price' is moderately generic, as it's a common phrase used in the context of cryptocurrency. However, it's not extremely broad or everyday-like. The ambiguity risk is low because the meaning is clear and specific to the skill's purpose. Semantic confusion risk is moderate because users might accidentally invoke this skill instead of another similar-sounding one. Squatting risk is also moderate because an attacker could create a malicious variant with a similar name, but it would require some effort."
Crypto Price,crypto price,Business & Finance,0.6281464450488385,Q4 high,1,0,1,1,2,"The invocation name 'crypto price' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the broad topic of cryptocurrency prices. The squatting risk is low as well, since it's not an extremely common phrase. Overall, while there are some risks present, they are relatively low."
Cryptocurrency Exchange Rate,crypto price,Business & Finance,0.6281464450488385,Q4 high,1,0,1,1,2,"The invocation name 'crypto price' is mostly distinctive and unique, making it less likely to be mispronounced or confused with other skills. The lack of ambiguity and minimal semantic confusion potential also contribute to a relatively low overall risk. However, the squatting risk is still moderate due to the possibility of malicious variants being created."
Crypto Price,crypto price,Business & Finance,0.6281464450488385,Q4 high,1,0,1,1,2,"The invocation name 'crypto price' is mostly distinctive, with a clear and specific meaning. While it's possible that users may mispronounce or abbreviate the name, there are no obvious ambiguities or semantic confusions. The risk of squatting is low due to the specificity of the name. Overall, the risk is moderate, as while the invocation name is not extremely generic, it's still possible for users to accidentally invoke this skill instead of another."
CryptoPrice,crypto price,Business & Finance,0.6281464450488385,Q4 high,1,0,3,2,3,"The invocation name 'crypto price' is mostly distinctive, but not extremely unique. There may be minor ambiguity due to the possibility of users mispronouncing or paraphrasing the name. The semantic confusion risk is moderate because a user might confuse this skill with another finance-related skill. Squatting potential is low because it's difficult to imitate or exploit this invocation name. Overall, the risk is moderate due to the moderate semantic confusion and squatting risks."
Cryptocurrency Rates,crypto price,Business & Finance,0.6281464450488385,Q4 high,1,0,1,1,1,"The invocation name 'crypto price' is mostly distinctive and unique, making it less likely to be confused with other skills. The phrase has a clear meaning and is not easily ambiguous or open to multiple interpretations. While it's possible that an attacker could create a similar-sounding skill, the risk of squatting is low due to the specificity of the name."
Crypto Prices,crypto prices,Business & Finance,0.6220440209904436,Q4 high,1,0,1,1,2,"The invocation name 'crypto prices' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of squatting or semantic confusion is low due to the specificity of the topic. Overall, the risk is moderate, as users may still accidentally invoke this skill when asking for general financial information."
Matt Facts,matt facts,Business & Finance,0.5954129244630664,Q4 high,0,1,1,1,1,"The invocation name 'matt facts' is highly distinctive and unique, making it difficult to confuse with other skills. The phrase is also very specific to the skill's topic, reducing ambiguity and squatting risks."
Blockchain Facts,blockchain facts,Business & Finance,0.5894909216470645,Q4 high,1,0,1,1,2,"The invocation name 'blockchain facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is low due to the specificity of the topic. Squatting potential is also low since the name doesn't seem easily imitable or exploitable. Overall, the risk is moderate due to the possibility of minor mistakes or misinterpretations."
Startup Facts,startup facts,Business & Finance,0.5396280733740483,Q4 high,1,0,1,1,2,"The invocation name 'startup facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is minimal, as there are few skills with similar names. Squatting potential is also low, as the name doesn't seem easily imitable or exploitable. Overall, the risk is moderate due to some minor vulnerabilities."
RedRecharge,red facts,Business & Finance,0.5229522370044808,Q4 high,1,0,1,1,2,"The invocation name 'red facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible that users may mispronounce or paraphrase the name, it's unlikely to be confused with other skills. The risk of squatting is also low due to the unique combination of words. Overall, the risk is moderate, as while there are some potential issues, they are not severe."
Investing Facts,investing facts,Business & Finance,0.5219810864042101,Q4 high,1,0,1,1,2,"The invocation name 'investing facts' is mostly distinctive, making it less likely to be confused with other skills. The phrase has a clear meaning and is not easily ambiguous. While it's possible that an attacker could create a similar-sounding skill, the genericity of the name makes it less susceptible to squatting attacks. Overall, the risk is moderate due to the potential for minor semantic confusion."
Indian Budget 2018 Interesting facts,budget facts,Business & Finance,0.4974329947535557,Q4 high,1,0,1,1,2,"The invocation name 'budget facts' is mostly distinctive, making it less likely to be confused with other skills. However, the phrase is somewhat common and could potentially be mispronounced or paraphrased by users. The risk of squatting is low due to the specificity of the skill's topic. Overall, while there are some risks present, they are relatively low."
Coinbase Bitcoin/Ethereum Price,coin base,Business & Finance,0.4933598198564681,Q4 high,1,0,1,1,2,"The invocation name 'coin base' is mostly distinctive, with a clear reference to the Coinbase brand. While it's possible that users may mispronounce or abbreviate the name, there is little ambiguity in its meaning. The risk of semantic confusion is low, as the name is not easily confused with other skills. Squatting potential is also very low, as the name is specific and unlikely to be imitated by malicious variants."
Ethereum Facts,ethereum facts,Business & Finance,0.4679278778095659,Q4 high,1,0,1,1,2,"The invocation name 'ethereum facts' is mostly distinctive, with a clear and specific meaning. While it's possible that users may mispronounce or abbreviate the name, there is little ambiguity in its meaning. The risk of semantic confusion is low, as this skill is unlikely to be confused with other skills. Squatting potential is also low, as it would require significant effort to create a malicious variant that sounds similar."
News USA,news u. s. a.,Business & Finance,0.4031130965532956,Q3,3,1,2,2,2,"The invocation name 'news u. s. a.' is moderately generic, as it's related to news and the United States. However, it's still distinctive enough to be easily recognized as a skill. There is very little ambiguity in this name, making it easy for users to understand what the skill does. The risk of semantic confusion is slight, as there are no other skills with similar names. Squatting potential is low, as it would require significant effort to create a malicious variant that sounds similar. Overall, the risk is moderate due to its generic nature and slight semantic confusion potential."
Bill Planner,bill notifications,Business & Finance,0.3929148632686072,Q3,3,2,1,2,2,"The invocation name 'bill notifications' is somewhat common, but not extremely generic. It has minor ambiguity due to the possibility of users mispronouncing or paraphrasing it. The semantic confusion risk is low because the skill's category and description provide clear context. Squatting risk is moderate as an attacker could create a similar-sounding invocation name. Overall, the risk is moderate due to the potential for minor issues with user intent and squatting."
Charles Schwab,schwab,Business & Finance,0.3874601686683028,Q3,1,0,1,1,2,"The invocation name 'schwab' is mostly distinctive and unique, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the similarity in sound to other words or phrases. The squatting risk is low as it would require significant effort to create a malicious variant that sounds similar. Overall, the risk is moderate due to the potential for minor ambiguity and semantic confusion."
Capital One,capital one,Business & Finance,0.3687738513174583,Q3,1,0,3,2,3,"The invocation name 'capital one' is mostly distinctive, but not extremely unique. There may be minor ambiguity when users mispronounce or paraphrase the name. The semantic confusion risk is moderate due to the similarity with other financial skills. Squatting potential is low as it's a well-known brand. Overall, the risk is moderate due to the balance of these factors."
First Unicorn,first unicorn,Business & Finance,0.357839129253293,Q3,0,1,1,1,1,"The invocation name 'first unicorn' is highly distinctive and unique, making it difficult to confuse with other skills. The phrase is not commonly used in everyday conversation, reducing the risk of ambiguity or semantic confusion. Additionally, the skill's category (Business & Finance) provides context that makes squatting less likely."
Stock Prices,stock prices,Business & Finance,0.3555734965770694,Q3,1,0,3,2,3,"The invocation name 'stock prices' is mostly distinctive, but not extremely unique. There may be minor ambiguity when users mispronounce or paraphrase the name. The semantic confusion risk is moderate due to the possibility of confusing this skill with other business-related skills. Squatting potential is low due to the specificity of the topic and the need for a similar-sounding invocation name. Overall, the risk is moderate due to the moderate semantic confusion risk."
Voiceflow Facts,voiceflow facts,Business & Finance,0.3542900994284383,Q2,1,0,1,1,2,"The invocation name 'voiceflow facts' is mostly distinctive, with a unique combination of words. There is little ambiguity in the meaning, and it's unlikely to be confused with other skills. While it's possible for an attacker to create a malicious variant, it would require significant effort to make it sound similar. Overall, this skill has a moderate risk profile."
Make Me Smart,make me smart,Business & Finance,0.3528991975170774,Q2,3,1,2,2,2,"The invocation name 'make me smart' is moderately generic, as it's a common phrase used in everyday conversation. However, the context of the skill and the distinctive tone of the hosts make it less likely to be confused with other skills. The risk of squatting or exploiting this name is low due to its specificity. Overall, while there are some risks involved, they are relatively low."
Sera Capital,sera capital,Business & Finance,0.3367929996936663,Q2,0,1,1,1,1,"The invocation name 'sera capital' is highly distinctive and unique, making it difficult to confuse with other skills. The phrase has a clear meaning related to business and finance, which reduces ambiguity and squatting risks."
Store Card,store card,Business & Finance,0.3362405843615916,Q2,3,2,2,4,4,"The invocation name 'store card' is moderately generic, as it could be used to describe other types of store cards or credit cards. There is some minor ambiguity in the meaning, as users may not immediately understand that this skill is specifically for managing an Amazon Store Card account. The semantic confusion risk is moderate, as users may accidentally invoke this skill thinking it's a general store card management tool. Squatting risk is high, as malicious actors could easily create similar-sounding invocation names to trick users into invoking their own skills. Overall risk is high due to the combination of these factors."
Capital Innovators,capital innovators,Business & Finance,0.3316018951138368,Q2,1,0,1,1,2,"The invocation name 'capital innovators' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the phrase's common usage in business and finance contexts. The squatting risk is low as well, since the name is not extremely generic or broad. Overall, the risk level is moderate."
SilverBug,silver bug,Business & Finance,0.3296614758273961,Q2,1,0,1,1,2,"The invocation name 'silver bug' is mostly distinctive, with a unique combination of words. There is little ambiguity in the meaning, and it's unlikely to be confused with other skills. While it's possible for an attacker to create a malicious variant, it would require significant effort to make it sound similar. Overall, this skill has a moderate risk profile."
The Motley Fool,fool,Business & Finance,0.315727446148665,Q2,3,1,2,2,2,"The invocation name 'fool' is somewhat generic, as it could be used in other contexts unrelated to the skill. However, it's not extremely common or broad, so it's not a high-risk score. The ambiguity risk is low because the name is still quite distinctive and unlikely to be confused with other skills. Semantic confusion risk is moderate because users may mispronounce or paraphrase the name, but it's not extremely easy to confuse with other skills. Squatting risk is also moderate because an attacker could create a malicious skill with a similar-sounding invocation name. Overall, the risk is moderate due to the potential for semantic confusion and squatting."
e. pragathi,e. pragathi,Business & Finance,0.3037618865914017,Q2,0,1,1,1,1,"The invocation name 'e. pragathi' is highly distinctive and unique, making it difficult to confuse with other skills or imitate maliciously. The phrase has a specific meaning related to business and finance, which reduces ambiguity and semantic confusion risks."
ChangeMakers with Katie Goar,the changemakers podcast,Business & Finance,0.3034033926941231,Q2,1,0,1,1,2,"The invocation name 'the changemakers podcast' is mostly distinctive and unique, making it less likely to be mispronounced or confused with other skills. However, the phrase 'podcast' could potentially lead to minor ambiguity if users are not familiar with the term. The risk of squatting is low due to the specificity of the name. Overall, while there are some minor risks, they are manageable and do not pose a significant threat."
Marx Trader,marx trader,Business & Finance,0.3031674470552081,Q2,1,0,1,1,2,"The invocation name 'marx trader' is mostly distinctive, making it less likely to be confused with other skills. The phrase has a clear meaning and is not ambiguous. While it's possible that an attacker could create a similar-sounding skill, the squatting risk is low due to the unique combination of words. Overall, the risk is moderate, as while there are some potential risks, they are not severe."
Futuri Media,futuri media,Business & Finance,0.297653178157727,Q2,1,0,1,1,2,"The invocation name 'futuri media' is mostly distinctive, with a unique combination of words. There is little ambiguity in the meaning, and it's unlikely to be confused with other skills. While it's possible for an attacker to create a malicious variant, it would require significant effort to make it sound similar. Overall, this invocation name poses a moderate risk due to its distinctiveness and low ambiguity."
ProdCustomNoLinking2020-11-23T18:09:24.721,prodcustom nolinkingfour,Business & Finance,0.2970485847477987,Q2,5,3,4,4,5,"The invocation name 'prodcustom nolinkingfour' is extremely generic and broad, making it easy to mispronounce or paraphrase. The use of numbers ('four') adds ambiguity, as users may not always enunciate clearly. The phrase is also moderately susceptible to semantic confusion with other skills, especially those in the Business & Finance category. Finally, the squatting risk is high due to the ease of creating malicious variants that could be easily confused with this skill."
Law Firm,law firm,Business & Finance,0.2952879962796365,Q2,3,1,2,2,2,"The invocation name 'law firm' is moderately generic, as it's a common phrase used in everyday language. However, the ambiguity risk is low because the context of the skill (Business & Finance) helps disambiguate the meaning. The semantic confusion risk is slight due to the specificity of the category and description. Squatting risk is moderate, but not extremely high since the name doesn't seem easily imitable or exploitable. Overall, the risk is moderate due to the balance of these factors."
P.O.F.,p. o. f.,Business & Finance,0.2939896787491074,Q2,5,3,4,4,5,"The invocation name 'p. o. f.' is extremely generic and could be easily mispronounced or abbreviated, leading to confusion with other skills. The ambiguity risk is moderate due to the possibility of users misinterpreting the skill's purpose. The semantic confusion risk is high because the skill's category (Business & Finance) may not immediately convey its content. Squatting risk is also high due to the simplicity and brevity of the invocation name, making it an attractive target for malicious variants."
Captain Torch,captain torch,Business & Finance,0.2890855712055582,Q2,0,1,1,1,1,"The invocation name 'captain torch' is highly distinctive and unique, making it difficult to confuse with other skills. The phrase has a clear meaning and is not easily mispronounced or paraphrased. While there may be some minor ambiguity in how users pronounce the name, this does not significantly increase the risk. As such, the overall risk is very low."
Dayton Realtors,dayton realtors,Business & Finance,0.2878933707303664,Q2,0,1,1,1,1,"The invocation name 'dayton realtors' is highly distinctive and unique, making it difficult to confuse with other skills. The phrase is also not commonly used in everyday conversation, reducing the risk of ambiguity or squatting."
Camp Vocal Answers Demo Skill,camp vocal answers,Business & Finance,0.2853671029478923,Q2,1,0,1,1,2,"The invocation name 'camp vocal answers' is mostly distinctive, making it less likely to be confused with other skills. The phrase has a clear meaning and is not easily ambiguous or confusing. While it's possible for an attacker to create a similar-sounding skill, the uniqueness of the name makes squatting more difficult. Overall, this invocation name poses a moderate risk due to its distinctiveness and lack of ambiguity."
Amex,amex,Business & Finance,0.2754635117629394,Q1 low,3,1,2,2,3,"The invocation name 'amex' is moderately generic, as it's a well-known brand. However, the ambiguity risk is low because the context of the skill (American Express) helps disambiguate the meaning. The semantic confusion risk is moderate due to the possibility of users mispronouncing or paraphrasing the name. Squatting risk is also moderate, as an attacker could create a similar-sounding invocation name. Overall, while there are some risks, they are not severe enough to warrant a high overall risk score."
MachineLearningRecommender,machine learning recommender,Business & Finance,0.2720440208881127,Q1 low,1,0,1,1,2,"The invocation name is mostly distinctive, with a clear meaning and minimal ambiguity. While it's possible to imagine slight confusion potential with other skills, the risk is low due to its specificity. Squatting potential is also very low, as the name is not easily imitable or exploitable."
CNBC,cnbc,Business & Finance,0.2593396981011521,Q1 low,1,0,1,1,2,"The invocation name 'cnbc' is highly distinctive and unique, making it unlikely to be confused with other skills. While it's possible that users may mispronounce or abbreviate the name, the risk of ambiguity is low due to its specificity. The semantic confusion risk is also low since the name is closely tied to the CNBC brand. Squatting potential is very low as well, making the overall risk moderate."
Mastermind - AI Assistant for Software Dev Teams,mastermind,Business & Finance,0.2538006758114288,Q1 low,1,0,1,1,2,"The invocation name 'mastermind' is mostly distinctive, with a clear meaning as an AI assistant for software development teams. While it's possible to mispronounce or abbreviate the name, it's not extremely generic or common. The risk of semantic confusion is minimal, and squatting potential is low due to the unique nature of the skill. Overall, the risk is moderate, with a need for vigilance but no immediate cause for concern."
Repfabric,rep fabric,Business & Finance,0.2354849990982159,Q1 low,1,0,1,1,2,"The invocation name 'rep fabric' is mostly distinctive, with a clear meaning related to the Repfabric skill. There is little ambiguity or semantic confusion potential. While it's possible for an attacker to create a similar-sounding invocation name, it would require some effort and creativity. Overall, the risk is moderate due to the relatively low likelihood of squatting or semantic confusion."
PayPal,paypal,Business & Finance,0.2274112159552862,Q1 low,3,1,2,2,2,"The skill name 'PayPal' is moderately generic, as it's a well-known brand. However, the invocation name 'paypal' is mostly distinctive and unlikely to be confused with other skills. There is minimal ambiguity in this case, as the meaning of the command is clear. The squatting risk is low, as it would require significant effort to create a malicious variant that sounds similar. Overall, the risk is moderate due to the skill's popularity and the potential for users to mispronounce or abbreviate the invocation name."
City of Las Vegas Building Permits,go vegas building permits,Business & Finance,0.2216223205834095,Q1 low,1,0,1,1,2,"The invocation name 'go vegas building permits' is mostly distinctive, with a clear and specific meaning. While it's possible that users may mispronounce or abbreviate the name, there is little ambiguity in its meaning. The risk of semantic confusion is low, as this skill is unlikely to be confused with other skills. Squatting potential is also low, as it would require significant effort to create a malicious variant that sounds similar."
McDonald's Apply Thru,mcdonald's apply thru,Business & Finance,0.2205404390573883,Q1 low,3,1,2,2,2,"The invocation name 'mcdonald's apply thru' is moderately generic, as it contains a well-known brand name and a common phrase. However, the ambiguity risk is low because the phrase is specific to the McDonald's job application process. The semantic confusion risk is moderate, as users may mispronounce or paraphrase the name, but it is unlikely to be confused with other skills. Squatting risk is also moderate, as an attacker could create a similar-sounding invocation name, but it would require some effort and creativity."
Blockchain Ticker,block chain ticker,Business & Finance,0.2199839659658071,Q1 low,3,1,2,2,2,"The invocation name 'block chain ticker' is moderately generic, as it uses common terms in the blockchain space. However, it's still distinctive enough to be easily recognized by users. There is very little ambiguity in this name, and while there may be some slight confusion potential with other skills, it's unlikely to cause significant issues. Squatting risk is also moderate, as an attacker could potentially create a malicious skill with a similar name."
Mario Sanfrancesco estate agent,mario sanfrancesco estate agent,Business & Finance,0.2107701429102266,Q1 low,1,0,1,1,2,"The invocation name is highly distinctive and unique, making it less likely to be mispronounced or confused with other skills. The lack of ambiguity and minimal semantic confusion potential also reduce the risk. However, the skill's category (Business & Finance) and description suggest a moderate overall risk due to the possibility of squatting attacks."
Snap Magic Media Group,snap magic media,Business & Finance,0.205305199357942,Q1 low,1,0,1,2,2,"The invocation name 'snap magic media' is mostly distinctive, making it less likely to be confused with other skills. However, the phrase 'snap magic' could potentially be used in other contexts, increasing the risk of semantic confusion. The squatting risk is moderate due to the possibility of malicious variants using similar names."
Voice Pages of Buy Sell Homes,voice pages of buy sale homes,Business & Finance,0.198121699874061,Q1 low,3,2,2,2,3,"The invocation name is moderately generic, as it uses common words like 'voice pages' and 'buy sale homes'. There is some minor ambiguity due to the use of 'of' instead of 'for', but overall the meaning is still clear. The risk of semantic confusion is moderate, as users may mispronounce or paraphrase the name. Squatting potential is also moderate, as an attacker could create a similar-sounding invocation name. Overall, the risk is moderate due to these factors."
Westchester,westchester,Business & Finance,0.1921827940800919,Q1 low,1,0,1,1,2,"The invocation name 'westchester' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the possibility of users mispronouncing or abbreviating the name. The squatting risk is low as well, since the name is not extremely common or broad. Overall, while there are some risks present, they are relatively low."
Blue Peaks Hosting,blue peaks hosting,Business & Finance,0.1915455576099849,Q1 low,0,1,1,1,1,"The invocation name 'blue peaks hosting' is highly distinctive and unique, making it difficult to mispronounce or confuse with other skills. The phrase is also not commonly used in everyday conversation, reducing the risk of semantic confusion or squatting."
Midland States Bank,midland states bank,Business & Finance,0.1806896821736813,Q1 low,0,1,1,1,1,"The invocation name 'midland states bank' is highly distinctive and unique, making it difficult to mispronounce or confuse with other skills. The phrase is also very specific to the Midland States Bank brand, reducing the likelihood of semantic confusion or squatting attacks."
TD Ameritrade,td ameritrade,Business & Finance,0.1672201877930143,Q1 low,1,0,1,1,2,"The invocation name 'td ameritrade' is mostly distinctive and unique, making it less likely to be mispronounced or confused with other skills. While there may be some minor ambiguity in the phrase, it is still a specific brand name that is unlikely to be confused with other skills. The squatting risk is low as well, since it would require a malicious actor to create an invocation name that is very similar to this one. Overall, the risk is moderate due to the potential for minor confusion or mispronunciation."
SELCO,selco,Business & Finance,0.1670514033581259,Q1 low,1,0,1,1,1,"The invocation name 'selco' is highly distinctive and unique, making it unlikely to be confused with other skills. The name has a clear meaning and is not easily ambiguous or open to multiple interpretations. While it's possible that an attacker could try to imitate the skill, the uniqueness of the name makes it difficult to do so without being obvious."
Whose Turn,whose turn,Communication,0.7000901742366233,Q4 high,5,3,4,4,4,"The invocation name 'whose turn' is extremely generic and could be easily confused with other phrases or skills. The ambiguity risk is moderate because it's possible to interpret the phrase in different ways (e.g., whose turn is it to do something, versus whose turn is it to receive something). The semantic confusion risk is high because this phrase could be easily confused with other skills that involve decision-making or task assignment. Squatting risk is also high because an attacker could create a malicious skill with a similar name and potentially deceive users."
Whose Turn,whose turn,Communication,0.7000901742366233,Q4 high,5,3,4,5,5,"The invocation name 'whose turn' is extremely generic and common, making it easy to mispronounce or paraphrase. The phrase has multiple plausible meanings, including asking for help in deciding whose turn it is in various contexts. This combination of factors makes it highly susceptible to squatting attacks and semantic confusion with other skills."
Whose Turn,whose turn,Communication,0.7000901742366233,Q4 high,5,3,4,5,5,"The invocation name 'whose turn' is extremely generic and common, making it easy to mispronounce or paraphrase. The phrase has multiple plausible meanings, including asking for help in deciding whose turn it is in various contexts. This combination of factors makes it highly susceptible to squatting attacks and semantic confusion with other skills."
Whose turn,whose turn,Communication,0.7000901742366233,Q4 high,5,3,4,4,4,"The invocation name 'whose turn' is extremely generic and could be easily confused with other phrases or skills. The ambiguity risk is moderate because it's possible to interpret the phrase in different ways (e.g., whose turn is it to do something, or whose turn is it to get something). The semantic confusion risk is high because this phrase could be easily confused with other skills that involve decision-making or task assignment. Squatting risk is also high because an attacker could create a malicious skill with a similar name and try to trick users into invoking it."
Whose Turn,whose turn,Communication,0.7000901742366233,Q4 high,5,3,4,5,5,"The invocation name 'whose turn' is extremely generic and could be easily confused with other phrases or skills. The ambiguity risk is moderate because it's possible to interpret the phrase in different ways (e.g., whose turn is it to do something, versus whose turn is it to get something). The semantic confusion risk is high because this phrase could be easily confused with other skills that involve decision-making or random selection. Finally, the squatting risk is extremely high because an attacker could easily create a malicious skill with a similar invocation name and exploit the ambiguity."
Whose Turn to take the dogs out,whose turn,Communication,0.7000901742366233,Q4 high,5,3,4,4,5,"The invocation name 'whose turn' is extremely generic and broad, making it easy to mispronounce or paraphrase. The phrase has multiple plausible meanings, including deciding whose turn it is for a task or activity. This ambiguity, combined with the high squatting potential, makes it likely that malicious variants could be created to exploit this skill. Overall, the risk of misuse or confusion is severe."
My Burns,my burns,Communication,0.6906958980166669,Q4 high,5,0,3,4,4,"The invocation name 'my burns' is extremely generic and broad, making it easy to mispronounce or paraphrase. While the skill's description provides context, there is still a moderate risk of semantic confusion with other skills. The squatting potential is high due to the simplicity and commonality of the phrase."
My Burns,my burns,Communication,0.6906958980166669,Q4 high,5,0,3,4,4,"The invocation name 'my burns' is extremely generic and broad, making it easy to mispronounce or paraphrase. While the skill's description provides context, there is still a moderate risk of semantic confusion with other skills. The squatting potential is high due to the simplicity and commonality of the phrase. Overall, this skill has a high overall risk."
